Time,State,Pump 1 Voltage,Pump 2 Voltage
2156.172119,Idle,0,0
2156.771973,Idle,0,0
2157.37207,Idle,0,0
2157.971924,Idle,0,0
2158.572021,Idle,0,0
2159.172119,Idle,0,0
2159.771973,Idle,0,0
2160.37207,Idle,0,0
2160.971924,Idle,0,0
2161.572021,Idle,0,0
2162.172119,Idle,0,0
2162.771973,Idle,0,0
2163.37207,Idle,0,0
2163.971924,Idle,0,0
2164.572021,Idle,0,0
2165.172119,Idle,0,0
2165.771973,Idle,0,0
2166.37207,Idle,0,0
2166.971924,Idle,0,0
2167.572021,Idle,0,0
2168.172119,Idle,0,0
2168.771973,Idle,0,0
2169.37207,Idle,0,0
2169.971924,Idle,0,0
2170.572021,Idle,0,0
2171.172119,Idle,0,0
2171.771973,Idle,0,0
2172.37207,Idle,0,0
2172.971924,Idle,0,0
2173.572021,Idle,0,0
2174.172119,Idle,0,0
2174.771973,Idle,0,0
2175.37207,Idle,0,0
2175.971924,Idle,0,0
2176.572021,Idle,0,0
2177.172119,Idle,0,0
2177.771973,Idle,0,0
2178.37207,Idle,0,0
2178.971924,Idle,0,0
2179.572021,Idle,0,0
2180.172119,Idle,0,0
2180.771973,Idle,0,0
2181.37207,Idle,0,0
2181.971924,Idle,0,0
2182.572021,Idle,0,0
2183.172119,Idle,0,0
2183.771973,Idle,0,0
2184.37207,Idle,0,0
2184.971924,Idle,0,0
2185.572021,Idle,0,0
2186.172119,Idle,0,0
2186.771973,Idle,0,0
2187.37207,Idle,0,0
2187.971924,Idle,0,0
2188.572021,Idle,0,0
2189.172119,Idle,0,0
2189.771973,Idle,0,0
2190.37207,Idle,0,0
2190.971924,Idle,0,0
2191.572021,Idle,0,0
2192.172119,Idle,0,0
2192.771973,Idle,0,0
2193.37207,Idle,0,0
2193.971924,Idle,0,0
2194.572021,Idle,0,0
2195.172119,Idle,0,0
2195.771973,Idle,0,0
2196.37207,Idle,0,0
2196.971924,Idle,0,0
2197.572021,Idle,0,0
2198.172119,Idle,0,0
2198.771973,Idle,0,0
2199.37207,Idle,0,0
2199.971924,Idle,0,0
2200.572021,Idle,0,0
2201.172119,Idle,0,0
2201.771973,Idle,0,0
2202.37207,Idle,0,0
2202.971924,Idle,0,0
2203.572021,Idle,0,0
2204.172119,Idle,0,0
2204.771973,Idle,0,0
2205.37207,Idle,0,0
2205.971924,Idle,0,0
2206.572021,Idle,0,0
2207.172119,Idle,0,0
2207.771973,Idle,0,0
2208.37207,Idle,0,0
2208.971924,Idle,0,0
2209.572021,Idle,0,0
2210.172119,Idle,0,0
2210.771973,Idle,0,0
2211.37207,Idle,0,0
2211.971924,Idle,0,0
2212.572021,Idle,0,0
2213.172119,Idle,0,0
2213.771973,Idle,0,0
2214.37207,Idle,0,0
2214.971924,Idle,0,0
2215.572021,Idle,0,0
2216.172119,Idle,0,0
2216.771973,Idle,0,0
2217.37207,Idle,0,0
2217.971924,Idle,0,0
2218.572021,Idle,0,0
2219.172119,Idle,0,0
2219.771973,Idle,0,0
2220.37207,Idle,0,0
2220.971924,Idle,0,0
2221.572021,Idle,0,0
2222.172119,Idle,0,0
2222.771973,Idle,0,0
2223.37207,Idle,0,0
2223.971924,Idle,0,0
2224.572021,Idle,0,0
2225.172119,Idle,0,0
2225.771973,Idle,0,0
2226.37207,Idle,0,0
2226.971924,Idle,0,0
2227.572021,Idle,0,0
2228.172119,Idle,0,0
2228.771973,Idle,0,0
2229.37207,Idle,0,0
2229.971924,Idle,0,0
2230.572021,Idle,0,0
2231.172119,Idle,0,0
2231.771973,Idle,0,0
2232.37207,Idle,0,0
2232.971924,Idle,0,0
2233.572021,Idle,0,0
2234.172119,Idle,0,0
2234.771973,Idle,0,0
2235.37207,Idle,0,0
2235.971924,Idle,0,0
2236.572021,Idle,0,0
2237.172119,Idle,0,0
2237.771973,Idle,0,0
2238.37207,Idle,0,0
2238.971924,Idle,0,0
2239.572021,Idle,0,0
2240.172119,Idle,0,0
2240.771973,Idle,0,0
2241.37207,Idle,0,0
2241.971924,Idle,0,0
2242.572021,Idle,0,0
2243.172119,Idle,0,0
2243.771973,Idle,0,0
2244.37207,Idle,0,0
2244.971924,Idle,0,0
2245.572021,Idle,0,0
2246.172119,Idle,0,0
2246.771973,Idle,0,0
2247.37207,Idle,0,0
2247.971924,Idle,0,0
2248.572021,Idle,0,0
2249.172119,Idle,0,0
2249.771973,Idle,0,0
2250.37207,Idle,0,0
2250.971924,Idle,0,0
2251.572021,Idle,0,0
2252.172119,Idle,0,0
2252.771973,Idle,0,0
2253.37207,Idle,0,0
2253.971924,Idle,0,0
2254.572021,Idle,0,0
2255.172119,Idle,0,0
2255.771973,Idle,0,0
2256.37207,Idle,0,0
2256.971924,Idle,0,0
2257.572021,Idle,0,0
2258.172119,Idle,0,0
2258.771973,Idle,0,0
